id	ribocop	rpbp	riborf	ribowave	truth
ENSMUSG00000020491_ENSMUST00000073924_rna	0.0	273.51311043731357	0.4757	1.0	0.0
ENSMUSG00000024312_ENSMUST00000025170_ribo	0.8797448081240093	103.65393566428602	0.9156	1.0	1.0
ENSMUSG00000024312_ENSMUST00000025170_rna	0.0	13.78599068217045	0.1215	1.0	0.0
ENSMUSG00000013629_ENSMUST00000202795_ribo	0.8973488586923895	544.7473639250027	1.0504	1.0	1.0
ENSMUSG00000013629_ENSMUST00000202795_rna	0.0	42.0818974125948	0.2938	1.0	0.0
ENSMUSG00000029221_ENSMUST00000113676_ribo	0.7165142069556192	139.5735571630325	0.9884	2.5125926834175e-32	1.0
ENSMUSG00000029221_ENSMUST00000113676_rna	0.0	3.293834624747916	0.4752	1.0	0.0
ENSMUSG00000036299_ENSMUST00000040284_ribo	0.9091561300553191	69.07354683758774	0.9901	8.17088985148176e-08	1.0
ENSMUSG00000021620_ENSMUST00000022120_ribo	0.7872828906271512	116.34959085554743	0.9639	0.57257692241068	1.0
ENSMUSG00000021620_ENSMUST00000022120_rna	0.0	14.445412487849353	0.3184	1.0	0.0
ENSMUSG00000026799_ENSMUST00000113830_ribo	0.8921483731449207	428.4685250754221	1.1505	1.0	1.0
ENSMUSG00000026799_ENSMUST00000113830_rna	0.0	-3.0836914817779473	0.4366	1.0	0.0
ENSMUSG00000007458_ENSMUST00000007602_ribo	0.7494721358739541	141.28108082581284	0.9705	0.00820546580174972	1.0
ENSMUSG00000007458_ENSMUST00000007602_rna	0.0	-1.2404958100277739	0.3042	0.578169209332903	0.0
ENSMUSG00000035878_ENSMUST00000039742_ribo	0.8158611523660974	39.24903967474182	0.9220	3.1723872401145895e-19	1.0
ENSMUSG00000028080_ENSMUST00000194759_ribo	0.8374755205212191	131.71643694277924	0.9294	1.0	1.0
ENSMUSG00000028080_ENSMUST00000194759_rna	0.0	0.5927361083724918	0.3570	1.0	0.0
ENSMUSG00000022338_ENSMUST00000060652_ribo	0.8986663785203983	264.5331104553749	1.0270	6.787450937195909e-28	1.0
ENSMUSG00000026917_ENSMUST00000113952_ribo	0.7463511767184089	1184.014631386814	0.9569	8.50477897692521e-20	1.0
ENSMUSG00000029009_ENSMUST00000069604_ribo	0.6141054226233553	-233.1282587798687	0.9343	0.2560587706731	1.0
ENSMUSG00000053898_ENSMUST00000066264_ribo	0.8442746860806567	49.65373437737037	0.9870	0.796378195272005	1.0
ENSMUSG00000053898_ENSMUST00000066264_rna	0.0	-0.32442053457072006	0.3410	1.0	0.0
ENSMUSG00000047797_ENSMUST00000119080_ribo	0.7967459292113229	399.6340757298569	0.9751	0.0552875330975094	1.0
ENSMUSG00000047797_ENSMUST00000119080_rna	0.0	-1.2772337457439562	0.4172	1.0	0.0
ENSMUSG00000027454_ENSMUST00000028948_ribo	0.908513525158996	548.8210320822027	1.1610	1.0	1.0
ENSMUSG00000025647_ENSMUST00000026737_ribo	0.8891617588410509	615.9926670613721	1.0672	0.420563904259665	1.0
ENSMUSG00000025647_ENSMUST00000026737_rna	0.0	9.89614975231143	0.2249	1.0	0.0
ENSMUSG00000047368_ENSMUST00000052556_ribo	0.7229626754341595	102.82479516803312	0.9070	0.0200775411642785	1.0
ENSMUSG00000047368_ENSMUST00000052556_rna	0.0	5.127738768809195	0.4633	1.0	0.0
ENSMUSG00000030087_ENSMUST00000203039_ribo	0.6984191781021982	1395.54513390983	1.1462	0.503776395739447	1.0
ENSMUSG00000031360_ENSMUST00000112303_ribo	0.7528151062981397	106.41844189743966	0.9850	1.0	1.0
ENSMUSG00000031360_ENSMUST00000112303_rna	0.0	-1.2296483618226688	0.3122	1.0	0.0
ENSMUSG00000056267_ENSMUST00000093795_ribo	0.8544003745317532	-581.6446666244901	1.0442	1.0	1.0
ENSMUSG00000004952_ENSMUST00000042135_rna	0.0	105.5004557839793	0.4514	1.0	0.0
ENSMUSG00000066037_ENSMUST00000105850_ribo	0.6985009001312211	588.9489053138614	1.0543	0.060234725795339	1.0
ENSMUSG00000009092_ENSMUST00000009236_ribo	0.8779711460710616	720.6146479733848	1.1604	0.20106847990226398	1.0
ENSMUSG00000009092_ENSMUST00000009236_rna	0.0	-2.1054496651267414	0.3568	1.0	0.0
ENSMUSG00000036810_ENSMUST00000095214_ribo	0.8154374008943687	239.7750571085889	0.9036	1.0	1.0
