id	ribocop	rpbp	riborf	ribowave	truth
ENSG00000116918_ENST00000366639_ribo	0.7877993377056995	21.38733721051463	1.0698	1.8504025835580002e-06	1.0
ENSG00000102780_ENST00000379274_ribo	0.7266888463438191	89.12992648914187	0.9677	1.0	1.0
ENSG00000099968_ENST00000355028_ribo	0.5653415692104504	228.1983473694572	-0.0504	1.0	1.0
ENSG00000099968_ENST00000355028_rna	0.0	-1.4618490080718516	0.2233	1.0	0.0
ENSG00000166024_ENST00000370586_ribo	0.793230660575943	522.9877303003979	0.8280	0.0527797692947834	1.0
ENSG00000166024_ENST00000370586_rna	0.0	3.989852301938299	0.3354	0.0848243735829771	0.0
ENSG00000232119_ENST00000371317_ribo	0.8062000345063075	0.1484118079001675	0.9472	0.184963387528237	1.0
ENSG00000153037_ENST00000621420_ribo	0.7481033477628587	240.75551115040122	0.9697	5.23986926551798e-05	1.0
ENSG00000204147_ENST00000374006_ribo	0.5728219618694801	467.28129732432467	0.8640	0.210190080425507	1.0
ENSG00000166037_ENST00000325486_ribo	0.7647379768167059	703.3736213930076	0.8259	0.00739445675148122	1.0
ENSG00000115762_ENST00000409158_ribo	0.7393096442960918	2.661882455450396	0.8104	0.14728720393966102	1.0
ENSG00000115762_ENST00000409158_rna	0.0	2.7287011776637655	0.3244	1.0	0.0
ENSG00000081026_ENST00000307546_ribo	0.6488391502714231	8.790270645352454	0.8441	1.0	1.0
ENSG00000081026_ENST00000307546_rna	0.0	48.482228371158726	0.2818	1.0	0.0
ENSG00000102908_ENST00000354436_ribo	0.7132205958525019	6860.181637084937	1.2777	6.65270366547234e-12	1.0
ENSG00000102908_ENST00000354436_rna	0.0	-906.4613163808935	0.3049	1.0	0.0
ENSG00000176749_ENST00000313401_ribo	0.7482215422523903	46.35310996840239	1.0629	6.54787242652111e-07	1.0
ENSG00000176749_ENST00000313401_rna	0.0	-0.8930899247422985	0.3847	1.0	0.0
ENSG00000149091_ENST00000343674_ribo	0.7667916696419632	22.500497708637567	1.0674	0.540904127534051	1.0
ENSG00000087884_ENST00000526415_ribo	0.7546074492124059	138.8482412633672	1.0764	0.000394316139644044	1.0
ENSG00000087884_ENST00000526415_rna	0.0	50.46064608343818	0.3478	1.0	0.0
ENSG00000089685_ENST00000301633_ribo	0.7844982690745678	10.981023743413196	1.1881	3.1840217070174996e-61	1.0
ENSG00000110514_ENST00000407859_ribo	0.7114549015937741	3135.74375483248	0.8287	1.0	1.0
ENSG00000052126_ENST00000429027_ribo	0.7546104005744322	463.0835119062627	1.2789	1.0	1.0
ENSG00000006695_ENST00000261643_ribo	0.658862260665301	138.1563080470162	0.8132	1.9810970141759399e-07	1.0
ENSG00000006695_ENST00000261643_rna	0.0	4.9485135166047485	0.3995	1.0	0.0
ENSG00000177674_ENST00000400895_rna	0.0	1.0053773430636284	0.1069	1.0	0.0
ENSG00000022267_ENST00000629039_ribo	0.8430631919409937	1137.740580504637	1.0625	4.8776524828785394e-49	1.0
ENSG00000198015_ENST00000549982_ribo	0.8261135390748762	71.36880062508118	0.9547	4.387928452530638e-173	1.0
ENSG00000198015_ENST00000549982_rna	0.0	14.759520121124496	0.3084	1.0	0.0
ENSG00000104852_ENST00000221448_ribo	0.7967036010243006	1164.4252777399433	1.0534	0.5698178724351031	1.0
ENSG00000116035_ENST00000234392_ribo	0.4809750997466514	44.32678396664778	0.7292	1.0	1.0
ENSG00000116035_ENST00000234392_rna	0.0	103.93666327400024	0.3281	1.0	0.0
